,parameter C1,parameter C2,parameter W,parameter CR,parameter MR,fitness,sequence
21,0.3,0.1,0.3,0.1,0.3,0.00411522633744856,"[14, 18, 3, 22, 2, 14, 7, 22, 9, 21, 18, 6, 20, 9, 8, 15, 7, 20, 10, 21, 1, 1, 8, 3, 15, 15, 22, 7, 19, 2, 10, 13, 8, 24, 6, 17, 21, 12, 4, 13, 0, 14, 20, 24, 2, 0, 6, 26, 19, 5, 26, 11, 11, 23, 18, 13, 5, 19, 9, 10, 3, 24, 0, 12, 16, 17, 11, 4, 4, 26, 16, 25, 16, 5, 23, 25, 12, 17, 1, 25, 23]"
22,0.3,0.1,0.3,0.3,0.1,0.004081632653061225,"[25, 11, 19, 16, 0, 11, 10, 16, 9, 11, 23, 20, 9, 20, 0, 20, 26, 4, 3, 21, 0, 18, 26, 22, 23, 10, 21, 9, 24, 10, 13, 21, 1, 25, 5, 7, 4, 23, 22, 19, 1, 22, 14, 4, 12, 17, 13, 26, 3, 2, 24, 8, 19, 2, 17, 6, 18, 25, 17, 16, 15, 7, 2, 24, 3, 14, 8, 5, 5, 15, 8, 1, 7, 12, 14, 18, 13, 6, 6, 12, 15]"
23,0.3,0.1,0.3,0.3,0.3,0.004081632653061225,"[7, 24, 7, 2, 2, 26, 24, 11, 16, 3, 24, 6, 19, 19, 18, 20, 0, 7, 22, 26, 16, 1, 2, 18, 21, 10, 6, 14, 1, 0, 0, 22, 9, 5, 15, 10, 18, 21, 8, 6, 3, 1, 5, 23, 25, 26, 10, 13, 9, 3, 5, 14, 14, 15, 20, 13, 17, 9, 17, 11, 21, 4, 12, 20, 12, 22, 25, 13, 8, 4, 15, 25, 12, 16, 23, 23, 17, 8, 11, 19, 4]"
24,0.3,0.3,0.1,0.1,0.1,0.004,"[5, 6, 12, 19, 22, 12, 2, 3, 22, 26, 21, 10, 5, 25, 3, 23, 2, 22, 21, 26, 23, 25, 3, 1, 14, 23, 4, 6, 0, 17, 17, 10, 7, 11, 19, 19, 0, 24, 4, 1, 24, 7, 26, 18, 0, 13, 13, 14, 7, 21, 14, 15, 15, 24, 20, 5, 11, 6, 9, 8, 25, 15, 20, 16, 2, 9, 10, 17, 16, 13, 9, 20, 18, 1, 12, 16, 8, 18, 8, 11, 4]"
25,0.3,0.3,0.1,0.1,0.3,0.004081632653061225,"[24, 10, 2, 8, 12, 13, 10, 23, 25, 13, 19, 24, 2, 16, 4, 10, 8, 19, 23, 21, 12, 4, 17, 16, 19, 18, 11, 21, 18, 25, 20, 24, 17, 11, 1, 21, 15, 15, 7, 7, 15, 22, 20, 11, 16, 4, 25, 20, 3, 6, 8, 6, 9, 26, 5, 14, 26, 12, 1, 6, 3, 3, 7, 22, 9, 0, 26, 17, 9, 18, 14, 2, 23, 13, 5, 1, 14, 0, 5, 0, 22]"
26,0.3,0.3,0.1,0.3,0.1,0.0040650406504065045,"[15, 18, 1, 21, 5, 12, 25, 0, 15, 20, 5, 1, 18, 12, 13, 6, 12, 0, 24, 26, 18, 15, 8, 20, 22, 24, 2, 13, 4, 0, 26, 8, 21, 5, 23, 24, 25, 22, 22, 7, 2, 26, 25, 20, 14, 17, 11, 7, 9, 21, 14, 23, 11, 10, 2, 4, 1, 6, 17, 17, 23, 10, 6, 3, 4, 16, 3, 9, 13, 10, 8, 16, 19, 3, 14, 11, 19, 19, 9, 16, 7]"
27,0.3,0.3,0.1,0.3,0.3,0.004149377593360996,"[22, 7, 21, 21, 9, 24, 14, 22, 21, 0, 0, 14, 7, 10, 3, 10, 18, 11, 2, 9, 6, 13, 10, 2, 11, 5, 19, 18, 23, 0, 20, 20, 14, 26, 25, 13, 9, 18, 6, 13, 1, 19, 26, 4, 7, 2, 17, 6, 5, 19, 23, 3, 17, 23, 20, 16, 24, 11, 16, 4, 12, 25, 22, 17, 26, 15, 1, 1, 15, 12, 4, 8, 5, 25, 8, 12, 8, 3, 16, 15, 24]"
28,0.3,0.3,0.3,0.1,0.1,0.004219409282700422,"[21, 18, 0, 5, 0, 9, 16, 22, 21, 18, 24, 20, 15, 5, 4, 5, 16, 7, 22, 24, 9, 0, 4, 11, 9, 6, 2, 24, 20, 10, 18, 10, 8, 26, 20, 15, 26, 3, 1, 22, 8, 11, 17, 17, 19, 10, 14, 2, 21, 1, 6, 3, 2, 3, 12, 23, 15, 13, 17, 7, 12, 11, 26, 13, 14, 7, 13, 16, 19, 6, 25, 23, 25, 19, 8, 1, 23, 12, 4, 14, 25]"
29,0.3,0.3,0.3,0.1,0.3,0.004219409282700422,"[24, 25, 18, 2, 24, 21, 15, 18, 21, 9, 26, 1, 3, 15, 22, 16, 26, 6, 22, 21, 6, 25, 10, 12, 15, 9, 5, 10, 5, 14, 19, 4, 18, 16, 7, 22, 5, 13, 1, 3, 2, 1, 24, 20, 12, 4, 9, 4, 25, 23, 0, 8, 10, 13, 17, 11, 13, 19, 23, 17, 23, 11, 16, 8, 14, 20, 3, 17, 0, 12, 20, 7, 11, 2, 14, 8, 26, 0, 7, 19, 6]"
30,0.3,0.3,0.3,0.3,0.1,0.004219409282700422,"[22, 6, 15, 14, 22, 11, 3, 0, 21, 15, 24, 17, 7, 1, 6, 14, 14, 18, 0, 21, 4, 17, 22, 25, 2, 1, 24, 19, 12, 4, 3, 18, 15, 4, 2, 24, 26, 18, 25, 20, 23, 12, 19, 19, 6, 5, 8, 16, 20, 17, 25, 26, 11, 23, 21, 10, 23, 12, 2, 10, 9, 5, 9, 13, 3, 1, 16, 10, 13, 0, 7, 5, 16, 26, 13, 8, 7, 9, 11, 20, 8]"
31,0.3,0.3,0.3,0.3,0.3,0.004032258064516129,"[1, 5, 4, 5, 0, 11, 11, 9, 22, 4, 22, 23, 9, 8, 3, 23, 19, 18, 18, 4, 7, 22, 16, 25, 25, 12, 0, 19, 23, 16, 3, 2, 26, 8, 16, 12, 17, 7, 21, 10, 20, 10, 17, 3, 25, 13, 24, 26, 13, 8, 10, 21, 12, 17, 13, 0, 2, 5, 19, 20, 18, 9, 6, 24, 14, 6, 11, 7, 20, 1, 21, 6, 15, 15, 24, 14, 26, 1, 15, 14, 2]"
