,parameter C1,parameter C2,parameter W,parameter CR,parameter MR,fitness,sequence,parameter C
21,0.1,,0.1,0.5,0.2,0.002421307506053269,"[18, 10, 26, 5, 6, 19, 21, 12, 11, 6, 14, 26, 18, 4, 7, 2, 12, 11, 20, 8, 24, 15, 18, 1, 4, 22, 21, 7, 3, 0, 25, 24, 24, 1, 4, 16, 25, 14, 17, 12, 20, 5, 2, 15, 13, 23, 19, 23, 14, 1, 8, 5, 19, 10, 3, 10, 17, 22, 0, 17, 13, 9, 3, 6, 9, 0, 21, 20, 16, 7, 11, 22, 16, 25, 13, 2, 26, 23, 9, 15, 8]",0.1
22,0.1,,0.1,0.5,0.3,0.0025,"[8, 22, 1, 0, 20, 16, 11, 20, 25, 12, 13, 8, 8, 26, 13, 6, 23, 2, 3, 7, 1, 26, 4, 0, 25, 6, 21, 0, 5, 24, 7, 14, 24, 5, 23, 14, 19, 21, 24, 13, 18, 25, 19, 12, 17, 2, 9, 4, 15, 16, 9, 9, 17, 18, 5, 4, 17, 22, 7, 10, 14, 23, 15, 3, 6, 12, 22, 16, 26, 1, 18, 10, 3, 20, 11, 19, 11, 21, 15, 2, 10]",0.1
23,0.1,,0.1,0.5,0.4,0.0024937655860349127,"[22, 20, 18, 16, 21, 19, 22, 3, 17, 25, 3, 16, 9, 14, 26, 13, 15, 11, 25, 10, 20, 11, 17, 7, 26, 8, 10, 0, 6, 15, 23, 23, 26, 11, 23, 7, 20, 8, 0, 18, 1, 1, 13, 12, 21, 7, 9, 24, 12, 0, 2, 12, 1, 4, 16, 18, 3, 24, 4, 10, 25, 5, 22, 19, 6, 8, 5, 17, 9, 19, 15, 2, 21, 13, 2, 4, 6, 24, 14, 5, 14]",0.1
24,0.1,,0.1,0.5,0.5,0.0024330900243309003,"[15, 9, 9, 20, 12, 0, 16, 26, 1, 10, 1, 21, 5, 24, 23, 10, 14, 4, 6, 26, 19, 25, 6, 24, 23, 7, 18, 6, 22, 18, 4, 8, 13, 18, 16, 15, 25, 19, 17, 9, 21, 16, 19, 0, 12, 22, 15, 10, 2, 20, 24, 3, 21, 20, 14, 14, 5, 13, 25, 2, 13, 11, 26, 3, 8, 0, 1, 22, 11, 7, 17, 4, 12, 5, 7, 2, 23, 3, 17, 8, 11]",0.1
25,0.1,,0.2,0.1,0.1,0.0024154589371980675,"[5, 13, 4, 8, 18, 9, 8, 25, 21, 11, 0, 14, 23, 23, 22, 11, 5, 20, 26, 2, 24, 1, 16, 6, 18, 15, 26, 13, 13, 9, 2, 6, 5, 25, 3, 21, 6, 22, 23, 7, 15, 2, 0, 1, 22, 12, 15, 8, 3, 0, 14, 16, 12, 19, 17, 7, 18, 24, 7, 25, 19, 3, 14, 9, 20, 10, 4, 19, 12, 20, 11, 17, 24, 4, 21, 26, 17, 10, 1, 10, 16]",0.1
26,0.1,,0.2,0.1,0.2,0.0024390243902439024,"[2, 16, 15, 2, 18, 13, 14, 22, 19, 21, 12, 0, 0, 6, 21, 5, 26, 24, 8, 12, 24, 24, 14, 4, 13, 8, 23, 7, 18, 1, 15, 17, 22, 19, 23, 12, 19, 10, 25, 7, 26, 1, 5, 16, 2, 5, 4, 11, 13, 10, 25, 17, 3, 14, 16, 8, 11, 6, 25, 9, 6, 1, 20, 3, 26, 21, 3, 22, 20, 11, 0, 17, 7, 15, 4, 18, 9, 20, 10, 9, 23]",0.1
27,0.1,,0.2,0.1,0.3,0.0024390243902439024,"[3, 11, 4, 19, 0, 18, 2, 22, 20, 21, 21, 7, 20, 6, 2, 16, 16, 22, 23, 4, 26, 14, 10, 8, 8, 23, 0, 13, 13, 6, 3, 9, 11, 0, 24, 15, 22, 19, 1, 3, 4, 17, 1, 17, 25, 16, 12, 26, 15, 23, 8, 9, 25, 10, 14, 7, 11, 24, 26, 13, 5, 14, 12, 12, 24, 25, 5, 20, 18, 9, 10, 1, 18, 5, 2, 15, 17, 21, 7, 6, 19]",0.1
28,0.1,,0.2,0.1,0.4,0.0024271844660194173,"[2, 1, 2, 23, 5, 11, 14, 14, 24, 21, 5, 17, 19, 24, 21, 4, 18, 0, 26, 7, 18, 4, 13, 17, 10, 0, 20, 9, 7, 7, 12, 9, 21, 12, 12, 25, 13, 22, 8, 6, 16, 10, 8, 18, 3, 19, 20, 5, 3, 26, 17, 6, 26, 10, 13, 24, 22, 15, 14, 15, 2, 11, 11, 22, 16, 0, 3, 1, 23, 15, 9, 4, 16, 25, 6, 1, 20, 19, 8, 25, 23]",0.1
29,0.1,,0.2,0.1,0.5,0.0024875621890547263,"[25, 26, 3, 11, 16, 17, 11, 13, 4, 1, 9, 13, 25, 15, 23, 18, 21, 17, 26, 26, 17, 16, 5, 19, 2, 18, 9, 18, 14, 14, 22, 5, 19, 15, 11, 10, 2, 1, 21, 8, 12, 16, 6, 21, 0, 6, 20, 22, 23, 6, 1, 10, 12, 8, 3, 25, 2, 0, 12, 9, 8, 14, 5, 3, 19, 23, 10, 13, 24, 0, 15, 20, 7, 24, 24, 7, 20, 4, 22, 7, 4]",0.1
30,0.1,,0.2,0.2,0.1,0.0024509803921568627,"[24, 13, 10, 15, 1, 26, 17, 25, 8, 15, 2, 16, 7, 14, 19, 16, 19, 10, 5, 22, 18, 1, 18, 21, 15, 0, 18, 8, 2, 3, 7, 20, 16, 14, 2, 5, 8, 3, 17, 23, 23, 19, 12, 6, 6, 25, 24, 22, 13, 25, 11, 5, 23, 14, 20, 20, 26, 21, 26, 3, 24, 11, 4, 9, 12, 4, 11, 22, 7, 12, 1, 13, 17, 10, 0, 9, 21, 6, 9, 4, 0]",0.1
