,parameter C1,parameter C2,parameter W,parameter CR,parameter MR,fitness,sequence
22,0.1,0.1,0.1,0.9,0.5,0.004219409282700422,"[21, 5, 21, 20, 4, 20, 1, 4, 10, 5, 9, 15, 26, 23, 12, 26, 10, 7, 2, 12, 6, 18, 9, 18, 15, 21, 1, 7, 6, 5, 4, 18, 23, 10, 13, 24, 14, 15, 26, 13, 22, 2, 6, 19, 19, 8, 0, 23, 24, 11, 17, 2, 14, 7, 24, 3, 16, 25, 3, 22, 14, 19, 17, 25, 3, 8, 11, 11, 16, 12, 13, 1, 22, 8, 16, 25, 0, 9, 20, 17, 0]"
23,0.1,0.1,0.1,0.9,0.7,0.004098360655737705,"[21, 21, 8, 15, 9, 24, 17, 14, 13, 9, 17, 8, 14, 11, 17, 24, 26, 0, 15, 25, 11, 19, 13, 9, 24, 25, 8, 3, 0, 10, 1, 10, 14, 18, 0, 3, 22, 11, 1, 20, 18, 22, 10, 4, 19, 2, 15, 12, 26, 20, 4, 21, 18, 4, 26, 13, 6, 2, 20, 7, 3, 5, 22, 5, 23, 23, 12, 7, 6, 19, 5, 2, 25, 12, 1, 6, 16, 23, 16, 16, 7]"
24,0.1,0.1,0.1,0.9,0.9,0.004098360655737705,"[15, 10, 1, 2, 14, 0, 15, 10, 11, 26, 8, 14, 9, 1, 26, 21, 11, 15, 0, 0, 16, 23, 12, 20, 21, 8, 22, 25, 23, 11, 16, 2, 25, 9, 14, 26, 12, 16, 13, 24, 21, 8, 22, 5, 7, 24, 3, 7, 10, 7, 1, 18, 17, 2, 18, 6, 6, 20, 20, 4, 5, 25, 3, 12, 17, 23, 19, 17, 19, 6, 24, 5, 18, 4, 3, 13, 4, 22, 9, 13, 19]"
25,0.1,0.1,0.3,0.1,0.1,0.004098360655737705,"[21, 13, 10, 9, 20, 17, 10, 21, 23, 11, 12, 9, 26, 23, 8, 1, 13, 9, 5, 11, 12, 8, 11, 26, 20, 20, 5, 17, 19, 6, 0, 18, 25, 10, 0, 15, 18, 16, 15, 6, 6, 16, 0, 22, 2, 2, 4, 25, 2, 22, 26, 23, 24, 4, 21, 19, 12, 8, 5, 15, 16, 24, 14, 14, 4, 25, 19, 7, 14, 7, 24, 3, 1, 17, 1, 18, 7, 22, 3, 13, 3]"
26,0.1,0.1,0.3,0.1,0.3,0.004132231404958678,"[5, 0, 3, 22, 21, 21, 0, 3, 25, 5, 2, 13, 24, 22, 12, 24, 25, 4, 9, 12, 9, 19, 10, 12, 5, 7, 22, 20, 2, 19, 10, 20, 11, 10, 11, 26, 4, 24, 21, 7, 4, 1, 23, 13, 6, 2, 14, 1, 9, 7, 17, 20, 13, 11, 16, 17, 18, 15, 26, 8, 14, 1, 15, 3, 25, 19, 18, 0, 23, 14, 6, 17, 6, 8, 18, 26, 15, 16, 23, 8, 16]"
27,0.1,0.1,0.3,0.1,0.5,0.0040650406504065045,"[23, 20, 9, 26, 2, 23, 7, 23, 10, 9, 21, 21, 26, 10, 22, 15, 2, 16, 22, 20, 24, 18, 26, 15, 7, 2, 21, 18, 15, 16, 10, 5, 11, 0, 12, 24, 19, 4, 25, 20, 16, 12, 25, 5, 17, 3, 9, 8, 19, 1, 13, 14, 0, 8, 19, 8, 4, 17, 0, 6, 3, 22, 11, 4, 25, 18, 6, 11, 6, 3, 1, 14, 7, 13, 1, 17, 12, 5, 14, 24, 13]"
28,0.1,0.1,0.3,0.1,0.7,0.004032258064516129,"[21, 17, 14, 19, 26, 26, 14, 1, 8, 2, 22, 19, 8, 18, 1, 8, 24, 22, 4, 15, 23, 18, 24, 26, 1, 15, 2, 21, 25, 3, 6, 22, 6, 18, 19, 11, 12, 2, 6, 12, 0, 20, 17, 7, 14, 24, 12, 20, 11, 5, 23, 11, 7, 23, 3, 9, 7, 3, 0, 9, 10, 10, 13, 16, 5, 10, 25, 13, 21, 4, 15, 16, 16, 9, 25, 0, 20, 5, 13, 4, 17]"
29,0.1,0.1,0.3,0.1,0.9,0.0040650406504065045,"[15, 1, 8, 4, 23, 22, 25, 25, 9, 23, 4, 11, 22, 14, 20, 0, 2, 13, 8, 1, 20, 15, 26, 19, 14, 9, 23, 24, 3, 11, 12, 19, 24, 5, 19, 25, 22, 4, 20, 26, 10, 3, 17, 8, 18, 12, 9, 2, 5, 2, 16, 11, 5, 13, 21, 24, 26, 1, 3, 0, 14, 6, 7, 10, 16, 12, 16, 10, 21, 7, 18, 7, 6, 13, 0, 6, 21, 17, 15, 18, 17]"
30,0.1,0.1,0.3,0.3,0.1,0.004149377593360996,"[24, 0, 20, 19, 24, 16, 16, 7, 0, 15, 8, 7, 22, 13, 13, 4, 15, 11, 3, 22, 21, 9, 21, 23, 8, 9, 1, 4, 10, 1, 10, 23, 9, 13, 8, 0, 22, 11, 7, 26, 16, 20, 6, 10, 24, 4, 26, 1, 19, 15, 12, 25, 21, 3, 17, 26, 5, 25, 20, 6, 14, 5, 23, 11, 17, 25, 2, 5, 6, 12, 19, 3, 14, 12, 18, 18, 2, 2, 18, 17, 14]"
31,0.1,0.1,0.3,0.3,0.3,0.004048582995951417,"[12, 25, 4, 2, 23, 11, 13, 6, 6, 20, 22, 7, 20, 18, 12, 4, 26, 13, 19, 6, 20, 8, 17, 5, 25, 14, 19, 7, 0, 19, 18, 10, 15, 24, 11, 22, 21, 26, 18, 5, 23, 7, 13, 22, 5, 21, 15, 2, 16, 23, 25, 10, 26, 8, 24, 4, 21, 8, 14, 2, 1, 3, 17, 9, 3, 9, 16, 1, 3, 24, 14, 0, 11, 15, 10, 17, 9, 1, 0, 16, 12]"
32,0.1,0.1,0.3,0.3,0.5,0.004132231404958678,"[26, 0, 5, 9, 24, 19, 26, 20, 17, 17, 21, 26, 0, 24, 14, 19, 9, 21, 2, 19, 6, 5, 21, 7, 18, 7, 23, 7, 12, 0, 5, 17, 9, 22, 14, 23, 16, 18, 12, 6, 20, 12, 10, 24, 22, 1, 18, 2, 25, 11, 10, 25, 13, 3, 8, 4, 3, 22, 13, 16, 8, 25, 4, 15, 3, 15, 15, 6, 1, 11, 20, 2, 4, 16, 8, 11, 10, 1, 13, 23, 14]"
33,0.1,0.1,0.3,0.3,0.7,0.003968253968253968,"[8, 16, 0, 15, 11, 7, 23, 15, 23, 10, 25, 14, 26, 16, 15, 10, 14, 18, 26, 11, 18, 8, 22, 13, 17, 13, 9, 12, 23, 18, 22, 21, 11, 5, 13, 7, 22, 17, 19, 10, 25, 5, 25, 21, 4, 20, 12, 20, 7, 3, 6, 8, 20, 6, 21, 12, 2, 19, 26, 3, 2, 2, 0, 24, 14, 24, 0, 3, 16, 4, 9, 4, 17, 6, 1, 19, 9, 5, 1, 1, 24]"
34,0.1,0.1,0.3,0.3,0.9,0.004081632653061225,"[26, 15, 1, 11, 26, 1, 21, 1, 2, 6, 18, 2, 2, 0, 24, 22, 21, 15, 23, 11, 18, 23, 9, 0, 20, 23, 13, 21, 19, 11, 3, 25, 9, 8, 24, 24, 0, 3, 12, 17, 7, 22, 10, 4, 25, 16, 5, 22, 20, 13, 17, 12, 10, 10, 5, 8, 19, 20, 3, 5, 15, 16, 18, 12, 9, 8, 26, 4, 16, 17, 13, 25, 14, 4, 14, 6, 7, 19, 7, 6, 14]"
35,0.1,0.1,0.3,0.5,0.1,0.004219409282700422,"[26, 1, 5, 26, 25, 22, 20, 19, 10, 18, 9, 22, 20, 13, 2, 5, 9, 10, 0, 13, 25, 2, 9, 19, 11, 18, 6, 6, 2, 21, 20, 22, 25, 4, 14, 5, 11, 21, 4, 3, 24, 3, 7, 15, 12, 11, 0, 26, 24, 15, 17, 6, 16, 10, 21, 17, 4, 0, 15, 24, 14, 12, 7, 19, 23, 18, 23, 8, 3, 17, 13, 8, 16, 7, 8, 14, 1, 16, 23, 1, 12]"
36,0.1,0.1,0.3,0.5,0.3,0.004016064257028112,"[26, 20, 5, 21, 18, 5, 21, 24, 18, 22, 20, 25, 4, 13, 10, 24, 25, 22, 11, 23, 15, 13, 15, 22, 26, 3, 14, 26, 3, 24, 16, 25, 21, 10, 6, 23, 8, 14, 16, 0, 23, 19, 8, 7, 4, 19, 20, 3, 10, 7, 14, 9, 4, 8, 1, 17, 18, 9, 2, 13, 11, 15, 1, 2, 9, 6, 1, 12, 17, 16, 0, 12, 5, 19, 12, 7, 11, 6, 17, 2, 0]"
37,0.1,0.1,0.3,0.5,0.5,0.004016064257028112,"[22, 3, 20, 4, 19, 5, 24, 26, 4, 15, 22, 19, 0, 23, 3, 4, 15, 21, 10, 15, 25, 0, 1, 12, 13, 19, 2, 23, 26, 23, 10, 21, 18, 16, 26, 5, 25, 18, 7, 21, 5, 2, 10, 6, 7, 17, 20, 14, 3, 24, 6, 13, 18, 17, 11, 14, 9, 7, 13, 9, 11, 12, 1, 2, 11, 14, 22, 6, 16, 17, 25, 12, 8, 8, 1, 0, 9, 8, 16, 24, 20]"
38,0.1,0.1,0.3,0.5,0.7,0.004,"[24, 8, 24, 8, 18, 8, 21, 25, 21, 13, 1, 3, 17, 13, 4, 0, 22, 13, 18, 0, 6, 12, 15, 25, 4, 21, 3, 22, 7, 15, 6, 18, 10, 16, 10, 20, 1, 2, 4, 26, 23, 15, 12, 26, 12, 23, 20, 0, 23, 16, 19, 22, 3, 9, 6, 17, 5, 9, 10, 9, 2, 11, 17, 5, 7, 14, 5, 14, 16, 14, 19, 7, 26, 19, 25, 24, 11, 2, 1, 11, 20]"
39,0.1,0.1,0.3,0.5,0.9,0.004098360655737705,"[12, 25, 12, 13, 13, 17, 1, 6, 22, 19, 8, 6, 22, 0, 1, 13, 7, 2, 9, 4, 12, 0, 26, 18, 4, 17, 7, 9, 3, 19, 2, 19, 8, 2, 5, 3, 9, 23, 26, 6, 22, 15, 25, 16, 11, 16, 5, 20, 21, 15, 14, 15, 17, 8, 23, 5, 0, 25, 24, 21, 7, 18, 18, 16, 1, 14, 20, 14, 3, 23, 10, 10, 21, 24, 10, 11, 20, 4, 26, 24, 11]"
40,0.1,0.1,0.3,0.7,0.1,0.0040650406504065045,"[19, 6, 24, 6, 5, 22, 24, 17, 10, 19, 22, 9, 0, 26, 20, 5, 23, 9, 18, 23, 25, 0, 25, 21, 26, 11, 2, 12, 11, 13, 9, 8, 24, 22, 10, 7, 12, 1, 11, 15, 17, 21, 2, 10, 15, 14, 20, 26, 21, 1, 4, 1, 5, 18, 16, 14, 4, 13, 14, 16, 3, 8, 15, 2, 16, 23, 4, 7, 20, 12, 0, 7, 13, 17, 3, 25, 3, 19, 8, 18, 6]"
41,0.1,0.1,0.3,0.7,0.3,0.0040650406504065045,"[10, 2, 13, 21, 25, 15, 6, 13, 24, 21, 22, 10, 14, 21, 12, 26, 24, 22, 5, 5, 22, 14, 0, 11, 16, 5, 12, 9, 10, 15, 3, 0, 6, 8, 24, 15, 16, 3, 6, 11, 9, 12, 14, 2, 17, 26, 23, 9, 8, 19, 13, 25, 17, 25, 18, 7, 2, 1, 7, 4, 8, 1, 3, 18, 0, 4, 18, 20, 1, 7, 19, 11, 26, 23, 20, 23, 4, 17, 16, 19, 20]"
42,0.1,0.1,0.3,0.7,0.5,0.00411522633744856,"[26, 8, 3, 8, 10, 25, 10, 16, 2, 1, 5, 25, 26, 10, 14, 14, 16, 1, 21, 19, 25, 8, 23, 14, 17, 4, 13, 21, 4, 12, 23, 3, 3, 23, 18, 24, 18, 2, 1, 22, 24, 21, 20, 24, 12, 0, 13, 13, 19, 5, 12, 2, 22, 4, 11, 9, 9, 19, 7, 26, 11, 5, 16, 20, 11, 9, 15, 20, 0, 18, 0, 6, 6, 17, 7, 17, 6, 22, 7, 15, 15]"
43,0.1,0.1,0.3,0.7,0.7,0.004132231404958678,"[19, 8, 11, 8, 4, 18, 7, 2, 6, 19, 18, 1, 5, 4, 6, 1, 2, 12, 22, 0, 10, 19, 26, 11, 12, 2, 22, 21, 21, 21, 15, 10, 25, 1, 15, 25, 22, 5, 25, 5, 14, 23, 0, 26, 3, 6, 9, 12, 3, 8, 17, 26, 24, 11, 23, 17, 9, 23, 20, 14, 16, 24, 4, 17, 13, 7, 0, 20, 16, 7, 24, 10, 13, 18, 14, 3, 13, 15, 16, 9, 20]"
